Run Number,Trace Number,Object.Slot,Timestep,Slot Value,Unit,Year,Month,Demand,IC,MRM Config,Model,Policy,Scenario
1,4,SummaryOutputData.LBShortageStep1,12-31-2018 23:59:00,0,NONE,2018,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,4,SummaryOutputData.LBShortageStep1,12-31-2019 23:59:00,0,NONE,2019,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,4,SummaryOutputData.LBShortageStep1,12-31-2020 23:59:00,0,NONE,2020,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,4,SummaryOutputData.LBShortageStep1,12-31-2021 23:59:00,0,NONE,2021,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,4,SummaryOutputData.LBShortageStep1,12-31-2022 23:59:00,1,NONE,2022,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,4,SummaryOutputData.LBShortageStep2,12-31-2018 23:59:00,0,NONE,2018,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,4,SummaryOutputData.LBShortageStep2,12-31-2019 23:59:00,0,NONE,2019,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,4,SummaryOutputData.LBShortageStep2,12-31-2020 23:59:00,0,NONE,2020,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,4,SummaryOutputData.LBShortageStep2,12-31-2021 23:59:00,0,NONE,2021,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,4,SummaryOutputData.LBShortageStep2,12-31-2022 23:59:00,0,NONE,2022,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,4,SummaryOutputData.LBShortageStep3,12-31-2018 23:59:00,0,NONE,2018,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,4,SummaryOutputData.LBShortageStep3,12-31-2019 23:59:00,0,NONE,2019,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,4,SummaryOutputData.LBShortageStep3,12-31-2020 23:59:00,0,NONE,2020,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,4,SummaryOutputData.LBShortageStep3,12-31-2021 23:59:00,0,NONE,2021,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,4,SummaryOutputData.LBShortageStep3,12-31-2022 23:59:00,0,NONE,2022,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,4,SummaryOutputData.LBSurplusConditions,12-31-2018 23:59:00,0,NONE,2018,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,4,SummaryOutputData.LBSurplusConditions,12-31-2019 23:59:00,0,NONE,2019,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,4,SummaryOutputData.LBSurplusConditions,12-31-2020 23:59:00,0,NONE,2020,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,4,SummaryOutputData.LBSurplusConditions,12-31-2021 23:59:00,0,NONE,2021,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,4,SummaryOutputData.LBSurplusConditions,12-31-2022 23:59:00,0,NONE,2022,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,4,SummaryOutputData.LowerBalancingAbove823,12-31-2018 23:59:00,0,NONE,2018,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,4,SummaryOutputData.LowerBalancingAbove823,12-31-2019 23:59:00,0,NONE,2019,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,4,SummaryOutputData.LowerBalancingAbove823,12-31-2020 23:59:00,0,NONE,2020,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,4,SummaryOutputData.LowerBalancingAbove823,12-31-2021 23:59:00,0,NONE,2021,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,4,SummaryOutputData.LowerBalancingAbove823,12-31-2022 23:59:00,0,NONE,2022,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,4,SummaryOutputData.LowerBalancingAt823,12-31-2018 23:59:00,0,NONE,2018,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,4,SummaryOutputData.LowerBalancingAt823,12-31-2019 23:59:00,0,NONE,2019,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,4,SummaryOutputData.LowerBalancingAt823,12-31-2020 23:59:00,0,NONE,2020,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,4,SummaryOutputData.LowerBalancingAt823,12-31-2021 23:59:00,0,NONE,2021,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,4,SummaryOutputData.LowerBalancingAt823,12-31-2022 23:59:00,0,NONE,2022,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,4,SummaryOutputData.LowerBalancingBelow823,12-31-2018 23:59:00,0,NONE,2018,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,4,SummaryOutputData.LowerBalancingBelow823,12-31-2019 23:59:00,0,NONE,2019,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,4,SummaryOutputData.LowerBalancingBelow823,12-31-2020 23:59:00,0,NONE,2020,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,4,SummaryOutputData.LowerBalancingBelow823,12-31-2021 23:59:00,0,NONE,2021,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,4,SummaryOutputData.LowerBalancingBelow823,12-31-2022 23:59:00,0,NONE,2022,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,4,SummaryOutputData.MidElevationReleaseAt748,12-31-2018 23:59:00,0,NONE,2018,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,4,SummaryOutputData.MidElevationReleaseAt748,12-31-2019 23:59:00,0,NONE,2019,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,4,SummaryOutputData.MidElevationReleaseAt748,12-31-2020 23:59:00,0,NONE,2020,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,4,SummaryOutputData.MidElevationReleaseAt748,12-31-2021 23:59:00,0,NONE,2021,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,4,SummaryOutputData.MidElevationReleaseAt748,12-31-2022 23:59:00,0,NONE,2022,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,4,SummaryOutputData.MidElevationReleaseAt823,12-31-2018 23:59:00,0,NONE,2018,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,4,SummaryOutputData.MidElevationReleaseAt823,12-31-2019 23:59:00,0,NONE,2019,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,4,SummaryOutputData.MidElevationReleaseAt823,12-31-2020 23:59:00,0,NONE,2020,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,4,SummaryOutputData.MidElevationReleaseAt823,12-31-2021 23:59:00,0,NONE,2021,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,4,SummaryOutputData.MidElevationReleaseAt823,12-31-2022 23:59:00,0,NONE,2022,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,4,SummaryOutputData.UpperBalancingAbove823,12-31-2018 23:59:00,1,NONE,2018,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,4,SummaryOutputData.UpperBalancingAbove823,12-31-2019 23:59:00,1,NONE,2019,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,4,SummaryOutputData.UpperBalancingAbove823,12-31-2020 23:59:00,0,NONE,2020,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,4,SummaryOutputData.UpperBalancingAbove823,12-31-2021 23:59:00,0,NONE,2021,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,4,SummaryOutputData.UpperBalancingAbove823,12-31-2022 23:59:00,1,NONE,2022,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,4,SummaryOutputData.UpperBalancingAt823,12-31-2018 23:59:00,0,NONE,2018,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,4,SummaryOutputData.UpperBalancingAt823,12-31-2019 23:59:00,0,NONE,2019,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,4,SummaryOutputData.UpperBalancingAt823,12-31-2020 23:59:00,1,NONE,2020,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,4,SummaryOutputData.UpperBalancingAt823,12-31-2021 23:59:00,1,NONE,2021,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,4,SummaryOutputData.UpperBalancingAt823,12-31-2022 23:59:00,0,NONE,2022,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,4,SummaryOutputData.UpperBalancingBelow823,12-31-2018 23:59:00,0,NONE,2018,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,4,SummaryOutputData.UpperBalancingBelow823,12-31-2019 23:59:00,0,NONE,2019,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,4,SummaryOutputData.UpperBalancingBelow823,12-31-2020 23:59:00,0,NONE,2020,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,4,SummaryOutputData.UpperBalancingBelow823,12-31-2021 23:59:00,0,NONE,2021,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,4,SummaryOutputData.UpperBalancingBelow823,12-31-2022 23:59:00,0,NONE,2022,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,3,SummaryOutputData.EqualizationAbove823,12-31-2018 23:59:00,0,NONE,2018,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,3,SummaryOutputData.EqualizationAbove823,12-31-2019 23:59:00,0,NONE,2019,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,3,SummaryOutputData.EqualizationAbove823,12-31-2020 23:59:00,0,NONE,2020,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,3,SummaryOutputData.EqualizationAbove823,12-31-2021 23:59:00,0,NONE,2021,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,3,SummaryOutputData.EqualizationAbove823,12-31-2022 23:59:00,0,NONE,2022,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,3,SummaryOutputData.EqualizationAt823,12-31-2018 23:59:00,0,NONE,2018,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,3,SummaryOutputData.EqualizationAt823,12-31-2019 23:59:00,0,NONE,2019,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,3,SummaryOutputData.EqualizationAt823,12-31-2020 23:59:00,0,NONE,2020,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,3,SummaryOutputData.EqualizationAt823,12-31-2021 23:59:00,0,NONE,2021,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,3,SummaryOutputData.EqualizationAt823,12-31-2022 23:59:00,0,NONE,2022,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,3,SummaryOutputData.LBFloodControlSurplus,12-31-2018 23:59:00,0,NONE,2018,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,3,SummaryOutputData.LBFloodControlSurplus,12-31-2019 23:59:00,0,NONE,2019,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,3,SummaryOutputData.LBFloodControlSurplus,12-31-2020 23:59:00,0,NONE,2020,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,3,SummaryOutputData.LBFloodControlSurplus,12-31-2021 23:59:00,0,NONE,2021,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,3,SummaryOutputData.LBFloodControlSurplus,12-31-2022 23:59:00,0,NONE,2022,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,3,SummaryOutputData.LBNormalCondition,12-31-2018 23:59:00,1,NONE,2018,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,3,SummaryOutputData.LBNormalCondition,12-31-2019 23:59:00,0,NONE,2019,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,3,SummaryOutputData.LBNormalCondition,12-31-2020 23:59:00,0,NONE,2020,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,3,SummaryOutputData.LBNormalCondition,12-31-2021 23:59:00,0,NONE,2021,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,3,SummaryOutputData.LBNormalCondition,12-31-2022 23:59:00,0,NONE,2022,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,3,SummaryOutputData.LBShortageConditions,12-31-2018 23:59:00,0,NONE,2018,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,3,SummaryOutputData.LBShortageConditions,12-31-2019 23:59:00,1,NONE,2019,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,3,SummaryOutputData.LBShortageConditions,12-31-2020 23:59:00,1,NONE,2020,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,3,SummaryOutputData.LBShortageConditions,12-31-2021 23:59:00,1,NONE,2021,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,3,SummaryOutputData.LBShortageConditions,12-31-2022 23:59:00,1,NONE,2022,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,3,SummaryOutputData.LBShortageStep1,12-31-2018 23:59:00,0,NONE,2018,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,3,SummaryOutputData.LBShortageStep1,12-31-2019 23:59:00,1,NONE,2019,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,3,SummaryOutputData.LBShortageStep1,12-31-2020 23:59:00,1,NONE,2020,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,3,SummaryOutputData.LBShortageStep1,12-31-2021 23:59:00,1,NONE,2021,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,3,SummaryOutputData.LBShortageStep1,12-31-2022 23:59:00,1,NONE,2022,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,3,SummaryOutputData.LBShortageStep2,12-31-2018 23:59:00,0,NONE,2018,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,3,SummaryOutputData.LBShortageStep2,12-31-2019 23:59:00,0,NONE,2019,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,3,SummaryOutputData.LBShortageStep2,12-31-2020 23:59:00,0,NONE,2020,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,3,SummaryOutputData.LBShortageStep2,12-31-2021 23:59:00,0,NONE,2021,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,3,SummaryOutputData.LBShortageStep2,12-31-2022 23:59:00,0,NONE,2022,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,3,SummaryOutputData.LBShortageStep3,12-31-2018 23:59:00,0,NONE,2018,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,3,SummaryOutputData.LBShortageStep3,12-31-2019 23:59:00,0,NONE,2019,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,3,SummaryOutputData.LBShortageStep3,12-31-2020 23:59:00,0,NONE,2020,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,3,SummaryOutputData.LBShortageStep3,12-31-2021 23:59:00,0,NONE,2021,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,3,SummaryOutputData.LBShortageStep3,12-31-2022 23:59:00,0,NONE,2022,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
1,3,SummaryOutputData.LBSurplusConditions,12-31-2018 23:59:00,0,NONE,2018,December,2007Dems,Most,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,Most"
